Obrazac KP1042 Knjiga prometa | type: PDFTextField | val: "" | rect: {"x":774.84,"y":533.88,"width":33.360000000000014,"height":12.120000000000005}
odObrazac KP1042 Knjiga prometa | type: PDFTextField | val: "" | rect: {"x":774.96,"y":503.76,"width":33.120000000000005,"height":15.480000000000018}
undefined | type: PDFTextField | val: "" | rect: {"x":41.28,"y":440.52,"width":209.16,"height":13.080000000000041}
undefined_2 | type: PDFTextField | val: "" | rect: {"x":426.36,"y":440.52,"width":209.15999999999997,"height":13.080000000000041}
2 Prezime i ime | type: PDFTextField | val: "" | rect: {"x":108.12,"y":410.64,"width":312.24,"height":19.920000000000016}
5 Naziv | type: PDFTextField | val: "" | rect: {"x":461.04,"y":410.64,"width":347.99999999999994,"height":19.920000000000016}
3 Adresa | type: PDFTextField | val: "" | rect: {"x":82.2,"y":389.64,"width":338.16,"height":20.04000000000002}
6 Adresa | type: PDFTextField | val: "" | rect: {"x":467.16,"y":389.64,"width":162.23999999999995,"height":20.04000000000002}
7 Vrsta djelatnosti šifra naziv | type: PDFTextField | val: "" | rect: {"x":630.84,"y":389.64,"width":178.43999999999994,"height":12.480000000000018}
8 Red brRow1 | type: PDFTextField | val: "" | rect: {"x":37.32,"y":315.48,"width":21.36,"height":15.359999999999957}
fill_3 | type: PDFTextField | val: "" | rect: {"x":495.96,"y":315.48,"width":108.71999999999997,"height":15.359999999999957}
8 Red brRow2 | type: PDFTextField | val: "" | rect: {"x":37.32,"y":297.72,"width":21.36,"height":15.479999999999961}
fill_5 | type: PDFTextField | val: "" | rect: {"x":495.96,"y":297.72,"width":108.71999999999997,"height":15.479999999999961}
8 Red brRow3 | type: PDFTextField | val: "" | rect: {"x":37.32,"y":280.08,"width":21.36,"height":15.360000000000014}
fill_7 | type: PDFTextField | val: "" | rect: {"x":495.96,"y":280.08,"width":108.71999999999997,"height":15.360000000000014}
8 Red brRow4 | type: PDFTextField | val: "" | rect: {"x":37.32,"y":262.56,"width":21.36,"height":15.240000000000009}
fill_9 | type: PDFTextField | val: "" | rect: {"x":495.96,"y":262.56,"width":108.71999999999997,"height":15.240000000000009}
8 Red brRow5 | type: PDFTextField | val: "" | rect: {"x":37.32,"y":244.92,"width":21.36,"height":15.359999999999985}
fill_11 | type: PDFTextField | val: "" | rect: {"x":495.96,"y":244.92,"width":108.71999999999997,"height":15.359999999999985}
8 Red brRow6 | type: PDFTextField | val: "" | rect: {"x":37.32,"y":227.4,"width":21.36,"height":15.23999999999998}
fill_13 | type: PDFTextField | val: "" | rect: {"x":495.96,"y":227.4,"width":108.71999999999997,"height":15.23999999999998}
8 Red brRow7 | type: PDFTextField | val: "" | rect: {"x":37.32,"y":209.76,"width":21.36,"height":15.360000000000014}
fill_15 | type: PDFTextField | val: "" | rect: {"x":495.96,"y":209.76,"width":108.71999999999997,"height":15.360000000000014}
8 Red brRow8 | type: PDFTextField | val: "" | rect: {"x":37.32,"y":192.12,"width":21.36,"height":15.359999999999985}
fill_17 | type: PDFTextField | val: "" | rect: {"x":495.96,"y":192.12,"width":108.71999999999997,"height":15.359999999999985}
8 Red brRow9 | type: PDFTextField | val: "" | rect: {"x":37.32,"y":174.6,"width":21.36,"height":15.240000000000009}
fill_19 | type: PDFTextField | val: "" | rect: {"x":495.96,"y":174.6,"width":108.71999999999997,"height":15.240000000000009}
8 Red brRow10 | type: PDFTextField | val: "" | rect: {"x":37.32,"y":156.96,"width":21.36,"height":15.359999999999985}
fill_21 | type: PDFTextField | val: "" | rect: {"x":495.96,"y":156.96,"width":108.71999999999997,"height":15.359999999999985}
8 Red brRow11 | type: PDFTextField | val: "" | rect: {"x":37.32,"y":139.32,"width":21.36,"height":15.360000000000014}
fill_23 | type: PDFTextField | val: "" | rect: {"x":495.96,"y":139.32,"width":108.71999999999997,"height":15.360000000000014}
8 Red brRow12 | type: PDFTextField | val: "" | rect: {"x":37.32,"y":121.8,"width":21.36,"height":15.239999999999995}
fill_25 | type: PDFTextField | val: "" | rect: {"x":495.96,"y":121.8,"width":108.71999999999997,"height":15.239999999999995}
Obrazac KP1042 Knjiga prometa nastavak | type: PDFTextField | val: "" | rect: {"x":774.84,"y":514.32,"width":33.360000000000014,"height":13.199999999999932}
odObrazac KP1042 Knjiga prometa nastavak | type: PDFTextField | val: "" | rect: {"x":774.96,"y":484.2,"width":33.120000000000005,"height":15.480000000000018}
Donos  ukupan zbir sa prethodne straniceRow1 | type: PDFTextField | val: "" | rect: {"x":37.32,"y":392.4,"width":21.36,"height":15.480000000000018}
Donos  ukupan zbir sa prethodne straniceRow1_2 | type: PDFTextField | val: "" | rect: {"x":61.2,"y":392.4,"width":51.72,"height":15.480000000000018}
Donos  ukupan zbir sa prethodne straniceRow1_3 | type: PDFTextField | val: "" | rect: {"x":115.44,"y":392.4,"width":78.96000000000001,"height":15.480000000000018}
Donos  ukupan zbir sa prethodne straniceRow1_4 | type: PDFTextField | val: "" | rect: {"x":196.92,"y":392.4,"width":296.52,"height":15.480000000000018}
Donos  ukupan zbir sa prethodne straniceRow2 | type: PDFTextField | val: "" | rect: {"x":37.32,"y":374.88,"width":21.36,"height":15.240000000000009}
Donos  ukupan zbir sa prethodne straniceRow2_2 | type: PDFTextField | val: "" | rect: {"x":61.2,"y":374.88,"width":51.72,"height":15.240000000000009}
Donos  ukupan zbir sa prethodne straniceRow2_3 | type: PDFTextField | val: "" | rect: {"x":115.44,"y":374.88,"width":78.96000000000001,"height":15.240000000000009}
Donos  ukupan zbir sa prethodne straniceRow2_4 | type: PDFTextField | val: "" | rect: {"x":196.92,"y":374.88,"width":296.52,"height":15.240000000000009}
Donos  ukupan zbir sa prethodne straniceRow3 | type: PDFTextField | val: "" | rect: {"x":37.32,"y":357.24,"width":21.36,"height":15.360000000000014}
Donos  ukupan zbir sa prethodne straniceRow3_2 | type: PDFTextField | val: "" | rect: {"x":61.2,"y":357.24,"width":51.72,"height":15.360000000000014}
Donos  ukupan zbir sa prethodne straniceRow3_3 | type: PDFTextField | val: "" | rect: {"x":115.44,"y":357.24,"width":78.96000000000001,"height":15.360000000000014}
Donos  ukupan zbir sa prethodne straniceRow3_4 | type: PDFTextField | val: "" | rect: {"x":196.92,"y":357.24,"width":296.52,"height":15.360000000000014}
Donos  ukupan zbir sa prethodne straniceRow4 | type: PDFTextField | val: "" | rect: {"x":37.32,"y":339.6,"width":21.36,"height":15.359999999999957}
Donos  ukupan zbir sa prethodne straniceRow4_2 | type: PDFTextField | val: "" | rect: {"x":61.2,"y":339.6,"width":51.72,"height":15.359999999999957}
Donos  ukupan zbir sa prethodne straniceRow4_3 | type: PDFTextField | val: "" | rect: {"x":115.44,"y":339.6,"width":78.96000000000001,"height":15.359999999999957}
Donos  ukupan zbir sa prethodne straniceRow4_4 | type: PDFTextField | val: "" | rect: {"x":196.92,"y":339.6,"width":296.52,"height":15.359999999999957}
Donos  ukupan zbir sa prethodne straniceRow5 | type: PDFTextField | val: "" | rect: {"x":37.32,"y":322.08,"width":21.36,"height":15.240000000000009}
Donos  ukupan zbir sa prethodne straniceRow5_2 | type: PDFTextField | val: "" | rect: {"x":61.2,"y":322.08,"width":51.72,"height":15.240000000000009}
Donos  ukupan zbir sa prethodne straniceRow5_3 | type: PDFTextField | val: "" | rect: {"x":115.44,"y":322.08,"width":78.96000000000001,"height":15.240000000000009}
Donos  ukupan zbir sa prethodne straniceRow5_4 | type: PDFTextField | val: "" | rect: {"x":196.92,"y":322.08,"width":296.52,"height":15.240000000000009}
Donos  ukupan zbir sa prethodne straniceRow6 | type: PDFTextField | val: "" | rect: {"x":37.32,"y":304.44,"width":21.36,"height":15.360000000000014}
Donos  ukupan zbir sa prethodne straniceRow6_2 | type: PDFTextField | val: "" | rect: {"x":61.2,"y":304.44,"width":51.72,"height":15.360000000000014}
Donos  ukupan zbir sa prethodne straniceRow6_3 | type: PDFTextField | val: "" | rect: {"x":115.44,"y":304.44,"width":78.96000000000001,"height":15.360000000000014}
Donos  ukupan zbir sa prethodne straniceRow6_4 | type: PDFTextField | val: "" | rect: {"x":196.92,"y":304.44,"width":296.52,"height":15.360000000000014}
Donos  ukupan zbir sa prethodne straniceRow7 | type: PDFTextField | val: "" | rect: {"x":37.32,"y":286.68,"width":21.36,"height":15.480000000000018}
Donos  ukupan zbir sa prethodne straniceRow7_2 | type: PDFTextField | val: "" | rect: {"x":61.2,"y":286.68,"width":51.72,"height":15.480000000000018}
Donos  ukupan zbir sa prethodne straniceRow7_3 | type: PDFTextField | val: "" | rect: {"x":115.44,"y":286.68,"width":78.96000000000001,"height":15.480000000000018}
Donos  ukupan zbir sa prethodne straniceRow7_4 | type: PDFTextField | val: "" | rect: {"x":196.92,"y":286.68,"width":296.52,"height":15.480000000000018}
Donos  ukupan zbir sa prethodne straniceRow8 | type: PDFTextField | val: "" | rect: {"x":37.32,"y":269.16,"width":21.36,"height":15.239999999999952}
Donos  ukupan zbir sa prethodne straniceRow8_2 | type: PDFTextField | val: "" | rect: {"x":61.2,"y":269.16,"width":51.72,"height":15.239999999999952}
Donos  ukupan zbir sa prethodne straniceRow8_3 | type: PDFTextField | val: "" | rect: {"x":115.44,"y":269.16,"width":78.96000000000001,"height":15.239999999999952}
Donos  ukupan zbir sa prethodne straniceRow8_4 | type: PDFTextField | val: "" | rect: {"x":196.92,"y":269.16,"width":296.52,"height":15.239999999999952}
Donos  ukupan zbir sa prethodne straniceRow9 | type: PDFTextField | val: "" | rect: {"x":37.32,"y":251.52,"width":21.36,"height":15.359999999999985}
Donos  ukupan zbir sa prethodne straniceRow9_2 | type: PDFTextField | val: "" | rect: {"x":61.2,"y":251.52,"width":51.72,"height":15.359999999999985}
Donos  ukupan zbir sa prethodne straniceRow9_3 | type: PDFTextField | val: "" | rect: {"x":115.44,"y":251.52,"width":78.96000000000001,"height":15.359999999999985}
Donos  ukupan zbir sa prethodne straniceRow9_4 | type: PDFTextField | val: "" | rect: {"x":196.92,"y":251.52,"width":296.52,"height":15.359999999999985}
Donos  ukupan zbir sa prethodne straniceRow10 | type: PDFTextField | val: "" | rect: {"x":37.32,"y":234,"width":21.36,"height":15.240000000000009}
Donos  ukupan zbir sa prethodne straniceRow10_2 | type: PDFTextField | val: "" | rect: {"x":61.2,"y":234,"width":51.72,"height":15.240000000000009}
Donos  ukupan zbir sa prethodne straniceRow10_3 | type: PDFTextField | val: "" | rect: {"x":115.44,"y":234,"width":78.96000000000001,"height":15.240000000000009}
Donos  ukupan zbir sa prethodne straniceRow10_4 | type: PDFTextField | val: "" | rect: {"x":196.92,"y":234,"width":296.52,"height":15.240000000000009}
Donos  ukupan zbir sa prethodne straniceRow11 | type: PDFTextField | val: "" | rect: {"x":37.32,"y":216.36,"width":21.36,"height":15.359999999999985}
Donos  ukupan zbir sa prethodne straniceRow11_2 | type: PDFTextField | val: "" | rect: {"x":61.2,"y":216.36,"width":51.72,"height":15.359999999999985}
Donos  ukupan zbir sa prethodne straniceRow11_3 | type: PDFTextField | val: "" | rect: {"x":115.44,"y":216.36,"width":78.96000000000001,"height":15.359999999999985}
Donos  ukupan zbir sa prethodne straniceRow11_4 | type: PDFTextField | val: "" | rect: {"x":196.92,"y":216.36,"width":296.52,"height":15.359999999999985}
Donos  ukupan zbir sa prethodne straniceRow12 | type: PDFTextField | val: "" | rect: {"x":37.32,"y":198.72,"width":21.36,"height":15.360000000000014}
